"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","plusfraichemaville.fr/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","plusfraichemaville.fr/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","plusfraichemaville.fr/109.232.233.130","443","OK","not offered","",""
"SSLv3","plusfraichemaville.fr/109.232.233.130","443","OK","not offered","",""
"TLS1","plusfraichemaville.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","plusfraichemaville.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","plusfraichemaville.fr/109.232.233.130","443","OK","offered","",""
"TLS1_3","plusfraichemaville.fr/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","plusfraichemaville.fr/109.232.233.130","443","OK","h2","",""
"ALPN","plusfraichemaville.fr/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","plusfraichemaville.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","plusfraichemaville.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","plusfraichemaville.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","plusfraichemaville.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","plusfraichemaville.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","plusfraichemaville.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","plusfraichemaville.fr/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","plusfraichemaville.fr/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","plusfraichemaville.fr/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","plusfraichemaville.fr/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","plusfraichemaville.fr/109.232.233.130","443","OK","server","",""
"FS","plusfraichemaville.fr/109.232.233.130","443","OK","offered","",""
"FS_ciphers","plusfraichemaville.fr/109.232.233.130","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","plusfraichemaville.fr/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","plusfraichemaville.fr/109.232.233.130","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","plusfraichemaville.fr/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","plusfraichemaville.fr/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","plusfraichemaville.fr/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","plusfraichemaville.fr/109.232.233.130","443","INFO","not supported","",""
"TLS_timestamp","plusfraichemaville.fr/109.232.233.130","443","INFO","random","",""
"certificate_compression","plusfraichemaville.fr/109.232.233.130","443","INFO","none","",""
"clientAuth","plusfraichemaville.fr/109.232.233.130","443","INFO","none","",""
"cert_numbers","plusfraichemaville.fr/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","plusfraichemaville.fr/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","plusfraichemaville.fr/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","plusfraichemaville.fr/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","plusfraichemaville.fr/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","plusfraichemaville.fr/109.232.233.130","443","INFO","04151FD18DC621912C8B2AAF8247156F9D54","",""
"cert_serialNumberLen","plusfraichemaville.fr/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","plusfraichemaville.fr/109.232.233.130","443","INFO","7A2E22418FAB16D8A2B0B6E4A3C2A86C7FEDBC11","",""
"cert_fingerprintSHA256","plusfraichemaville.fr/109.232.233.130","443","INFO","AC2F6487B4C6B918A67C051CCF464B61BF7290E7D15F2060FC89905B53532BE1","",""
